Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
4,14,3500,40,0,1,0.538040637969971
2,5,1250,47,1,0,0.266783773899078
4,1,250,4,0,0,0.293716758489609
16,1,250,16,0,0,0.100021630525589
11,8,2000,48,0,0,0.191429764032364
11,2,500,21,0,0,0.153055146336555
9,2,500,52,0,0,0.104980014264584
3,14,3500,35,0,1,0.584548354148865
14,5,1250,26,0,0,0.157305225729942
16,6,1500,81,0,0,0.0566885955631733
14,7,1750,72,0,0,0.0895121246576309
2,7,1750,32,1,0,0.390153497457504
4,4,1000,34,1,0,0.255699932575226
4,6,1500,35,0,0,0.305698364973068
14,7,1750,45,0,0,0.143562167882919
2,1,250,2,0,0,0.341308206319809
11,8,2000,52,1,0,0.179491356015205
4,2,500,4,0,0,0.322249501943588
14,2,500,14,0,0,0.136684328317642
38,1,250,38,0,0,0.00979324616491795
16,14,3500,83,0,0,0.144331499934196
1,9,2250,51,0,0,0.386022835969925
21,3,750,26,0,0,0.0705855190753937
4,16,4000,38,1,1,0.612985074520111
2,2,500,2,0,0,0.372028917074203
23,1,250,23,1,0,0.0489512160420418
14,1,250,14,0,0,0.121633276343346
1,16,4000,35,1,1,0.687782645225525
4,8,2000,26,1,0,0.407442331314087
21,2,500,25,0,0,0.0634521543979645
21,2,500,21,0,0,0.0683151111006737
11,14,3500,73,1,0,0.243952587246895
11,4,1000,28,0,0,0.170614048838615
16,1,250,16,0,0,0.100021630525589
1,12,3000,35,0,1,0.563156843185425
2,4,1000,16,0,0,0.36997926235199
4,2,500,4,0,0,0.322249501943588
2,11,2750,46,1,0,0.453248053789139
23,3,750,41,0,0,0.0450203642249107
2,1,250,2,1,0,0.341308206319809
12,11,2750,23,0,0,0.346368700265884
4,7,1750,58,0,0,0.242154687643051
13,7,1750,76,0,0,0.0904251709580421
4,12,3000,88,0,0,0.256536811590195
4,1,250,4,1,0,0.293716758489609
7,2,500,16,0,0,0.222490146756172
11,7,1750,62,1,0,0.135711938142776
16,4,1000,28,0,0,0.115853667259216
21,3,750,40,0,0,0.0544539242982864
9,3,750,14,0,0,0.221293225884438
2,2,500,2,0,0,0.372028917074203
11,9,2250,38,0,0,0.248025253415108
12,12,3000,58,0,0,0.232760846614838
38,1,250,38,0,0,0.00979324616491795
23,1,250,23,0,0,0.0489512160420418
3,5,1250,26,0,0,0.334881573915482
1,14,3500,95,0,0,0.339867770671844
4,6,1500,14,0,0,0.400041788816452
16,1,250,16,0,0,0.100021630525589
13,3,750,14,1,0,0.16534885764122
2,1,250,2,0,0,0.341308206319809
2,4,1000,16,0,0,0.36997926235199
2,3,750,4,1,0,0.394341111183167
16,4,1000,40,0,0,0.0936851501464844
16,1,250,16,0,0,0.100021630525589
14,8,2000,46,0,0,0.158180490136147
2,2,500,4,1,0,0.362842500209808
11,7,1750,37,0,0,0.204678818583488
11,6,1500,28,0,0,0.211920619010925
2,5,1250,63,0,0,0.209621995687485
2,4,1000,14,1,0,0.379238814115524
21,1,250,21,0,0,0.0602670162916183
23,2,500,23,0,0,0.05557756498456
2,4,1000,35,0,0,0.287450820207596
13,8,2000,26,0,0,0.233908370137215
16,1,250,16,0,0,0.100021630525589
4,1,250,4,0,0,0.293716758489609
4,5,1250,11,1,0,0.382263898849487
2,9,2250,22,1,1,0.504713535308838
16,7,1750,93,0,0,0.051415640860796
14,7,1750,73,0,0,0.0879144892096519
2,1,250,2,0,0,0.341308206319809
2,11,2750,40,1,0,0.482761949300766
14,5,1250,28,1,0,0.152136415243149
16,1,250,16,0,0,0.100021630525589
21,2,500,21,1,0,0.0683151111006737
16,3,750,21,0,0,0.116304256021976
2,1,250,2,0,0,0.341308206319809
16,3,750,86,0,0,0.0351455695927143
23,5,1250,58,0,0,0.0421826913952827
3,5,1250,12,1,0,0.399029552936554
14,1,250,14,0,0,0.121633276343346
3,5,1250,38,0,0,0.284277737140656
11,2,500,21,0,0,0.153055146336555
16,1,250,16,0,0,0.100021630525589
2,10,2500,52,0,0,0.391722083091736
2,12,3000,52,0,0,0.457059890031815
11,1,250,11,0,0,0.161493480205536
11,2,500,11,0,0,0.180463522672653
4,1,250,4,0,0,0.293716758489609
23,2,500,38,0,0,0.0419173240661621
4,1,250,4,0,0,0.293716758489609
2,1,250,2,0,0,0.341308206319809
11,1,250,11,0,0,0.161493480205536
11,5,1250,41,0,0,0.153911098837852
4,1,250,4,0,0,0.293716758489609
21,2,500,41,0,0,0.0470605008304119
4,10,2500,28,1,0,0.463520050048828
14,2,500,14,0,0,0.136684328317642
4,7,1750,62,0,0,0.227944657206535
11,3,750,28,0,0,0.152486726641655
16,1,250,16,0,0,0.100021630525589
14,1,250,14,0,0,0.121633276343346
11,2,500,14,0,0,0.17186051607132
2,4,1000,16,1,0,0.36997926235199
12,11,2750,39,0,0,0.278634935617447
23,8,2000,69,0,0,0.0502974390983582
2,11,2750,79,1,0,0.301592737436295
2,4,1000,26,0,0,0.325209468603134
14,1,250,14,0,0,0.121633276343346
4,4,1000,41,0,0,0.230271562933922
23,3,750,33,0,0,0.0523281469941139
23,6,1500,45,0,0,0.0611236803233624
2,11,2750,26,0,1,0.551738739013672
7,10,2500,47,0,0,0.311679601669312
16,3,750,50,0,0,0.0690727010369301
2,7,1750,28,1,0,0.409117132425308
2,3,750,52,0,0,0.201376989483833
21,1,250,21,0,0,0.0602670162916183
2,1,250,2,0,0,0.341308206319809
4,10,2500,28,1,0,0.463520050048828
23,1,250,23,0,0,0.0489512160420418
4,2,500,13,0,0,0.284689545631409
4,5,1250,74,0,0,0.151228204369545
2,8,2000,38,1,0,0.393816888332367
14,4,1000,26,0,0,0.140352636575699
4,2,500,46,0,0,0.171719908714294
0,13,3250,28,1,1,0.649415910243988
23,2,500,23,0,0,0.05557756498456
16,7,1750,39,0,0,0.136126413941383
11,1,250,11,0,0,0.161493480205536
16,6,1500,35,1,0,0.129798784852028
20,14,3500,69,1,0,0.134248778223991
2,2,500,16,0,0,0.309982657432556
14,13,3250,57,0,0,0.228027611970901
11,1,250,11,1,0,0.161493480205536
4,8,2000,40,1,0,0.342713177204132
13,3,750,16,0,0,0.15996590256691
4,1,250,4,1,0,0.293716758489609
2,5,1250,16,1,0,0.401706784963608
4,1,250,4,0,0,0.293716758489609
14,3,750,52,0,0,0.078700065612793
4,1,250,4,0,0,0.293716758489609
16,5,1250,71,0,0,0.0601915866136551
4,4,1000,16,0,0,0.32900008559227
14,4,1000,57,0,0,0.0812854990363121
2,1,250,2,0,0,0.341308206319809
4,6,1500,28,1,0,0.335822016000748
2,13,3250,32,1,1,0.588318109512329
23,3,750,35,0,0,0.05040243268013
14,2,500,14,0,0,0.136684328317642
7,5,1250,35,0,0,0.227081805467606
16,4,1000,45,0,0,0.0856252238154411
4,8,2000,21,0,0,0.431499630212784
4,3,750,28,0,0,0.252785563468933
8,15,3750,77,0,0,0.308823347091675
9,4,1000,65,0,0,0.106016151607037
14,8,2000,50,0,0,0.147936269640923
2,15,3750,64,0,0,0.498126208782196
14,4,1000,28,1,0,0.135651186108589
23,12,3000,86,0,0,0.0607467629015446
16,7,1750,64,0,0,0.0877109691500664
2,3,750,14,0,0,0.348252892494202
2,1,250,2,0,0,0.341308206319809
23,3,750,39,0,0,0.0467505902051926
14,3,750,79,0,0,0.0477097295224667
2,6,1500,45,0,0,0.302055358886719
21,3,750,70,0,0,0.0308498237282038
4,33,8250,98,1,1,0.825089812278748
16,3,750,34,0,0,0.0923881381750107
14,1,250,14,0,0,0.121633276343346
11,2,500,11,0,0,0.180463522672653
4,5,1250,58,0,0,0.196423828601837
14,7,1750,47,0,0,0.138770580291748
11,7,1750,29,0,0,0.231617152690887
4,1,250,4,0,0,0.293716758489609
4,5,1250,58,0,0,0.196423828601837
